PROYECTO,Tipo ,N° Departamento,N° Departamento.1,Estado MS,Broker ,Fecha Reserva,Tiempo transcurrido ,Fecha Promesa ,Arriendo,Fecha Inicio C. Arriendo,Fecha Fin C. Arriendo,Valor Arriendo,Estado Arriendo,Orientación,Tipología,M2 Terraza,M2 Dpto,Total M2,Precio,Precio Pie Regalo,Precio de Pie Regalo + 24 Cuotas,Precio de Pie Regalo + 36 Cuotas,Precio de Pie Regalo + 48 Cuotas,Precio de Pie Regalo + 60 Cuotas,Unidad_Unificada,Precio_UF_Unificado,Estado_Unificado,Tipologia_Unificada,M2_Total_Unificado,Proyecto_Unificado,Archivo_Origen,Unnamed: 0,Depto,Tipo,Caract.,Orientacion,"M2
 Útil.","M2
 Terraza",M2 total,Precio Con Bono Pie 15%,Estado,Condicion,Unnamed: 11,Unnamed: 12,Número del producto,Tipo Unidad,Programa,Grupo,Piso Producto,Proyecto,Superficie Vendible,Superficie Comercial,Superficie Interior,Superficie de Terraza,Precio LISTA,OBSERVACIONES
ARMONÍA,DEPARTAMENTO,506.0,506.0,PROMESADO,R,2025-06-01,,2025-07-01 00:00:00,,,,,,PONIENTE,1D+1B,4.2,32.14,36.34,3711.15,4123.5,4175.696203,4186.294416,4207.653061,4218.414322,506,3711.15,PROMESADO,1D+1B,36.34,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,507.0,507.0,PROMESADO,INV+,2025-11-27,,,Arrendado,2025-04-24,2026-04-23,300000.0,Vigente,PONIENTE,1D+1B,8.08,32.0,40.08,2261.47,2512.744444,2544.551336,2551.009588,2564.024943,2570.582552,507,2261.47,PROMESADO,1D+1B,40.08,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,508.0,508.0,PROMESADO,,,,,,,,,,PONIENTE,1D+1B,4.2,32.0,36.2,2175.32,2417.022222,2447.61744,2453.829667,2466.349206,2472.657005,508,2175.32,PROMESADO,1D+1B,36.2,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,509.0,509.0,PROMESADO,R,2025-06-17,,2025-07-17 00:00:00,Arrendado,2024-10-02,2025-10-01,285000.0,Por Vencer,PONIENTE,1D+1B,4.2,32.0,36.2,2760.07,3066.744444,3105.563994,3113.446136,3129.331066,3137.33447,509,2760.07,PROMESADO,1D+1B,36.2,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,510.0,510.0,PROMESADO,,,,,,,,,,SUR,1D+1B,4.34,32.0,36.34,2089.17,2321.3,2350.683544,2356.649746,2368.673469,2374.731458,510,2089.17,PROMESADO,1D+1B,36.34,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,511.0,511.0,PROMESADO,RE,2025-07-11,,2025-08-11 00:00:00,,,,,,SURPONIENTE,2D+2B,7.84,56.26,64.1,3999.18,"3761,04",3808.648101,3818.314721,3837.795918,3847.611253,511,3999.18,PROMESADO,2D+2B,64.1,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,512.0,512.0,PROMESADO,,,,,,,,,,NORPONIENTE,2D+2B,7.84,56.26,64.1,3347.62,3719.577778,3766.661041,3776.221094,3795.487528,3805.194658,512,3347.62,PROMESADO,2D+2B,64.1,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,513.0,513.0,PROMESADO,,,,,,,,,,NORTE,1.5D+1B,6.68,40.43,47.11,2406.85,2674.277778,2708.129395,2715.00282,2728.854875,2735.834044,513,2406.85,PROMESADO,1.5D+1B,47.11,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,514.0,514.0,PROMESADO,,,,,,,,,,PONIENTE,3D+2B,4.2,32.0,36.2,2207.62,2452.911111,2483.960619,2490.265087,2502.970522,2509.371981,514,2207.62,PROMESADO,3D+2B,36.2,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,601.0,601.0,PROMESADO,,,,,,,,,,ORIENTE,1D+1B,8.08,32.36,40.44,2315.31,2572.566667,2605.130802,2611.742809,2625.068027,2631.781756,601,2315.31,PROMESADO,1D+1B,40.44,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
